auteur_joconde,qid_wikidata,label_wikidata,naissance,deces,trouve
Cayron Jules (1868-1940),Q20089501,Jules Cayron,1868.0,1940.0,True
Yon Edmond Charles Joseph (1841-1897),,,1841.0,1897.0,False
Hista Louis (1851-1935),Q22965544,Louis Hista,1851.0,1935.0,True
Moreau Pierre Louis (1876-1960),,,1876.0,1960.0,False
Scott Edwin (1863-1929),Q5346810,Edwin Scott,1917.0,1929.0,True
David-Nillet Germain (1861-1932),Q3104098,Germain David-Nillet,1861.0,1932.0,True
Doyen Gabriel François (1726-1806),,,1726.0,1806.0,False
Martellière Paul (-),,,,,False
Ménorval Eugène de (1864-1897),Q14208422,Eugène de Ménorval,1829.0,1897.0,True
Verwer Abraham de (1600-1650),Q330784,Abraham de Verwer,1585.0,1650.0,True
Michel-Lévy Henri (1844-1914),Q20089685,Henri Michel-Lévy,1844.0,1914.0,True
BellangeJacques (1575-1616),,,1575.0,1616.0,False
Collaert Adriaen (1560-1618);De Vos Maarten (1532-1603);JODE Gerard de (1510-1591),Q2825010,Adriaen Collaert,1560.0,1618.0,True
Lerouillé Maurice Ernest (1888-1952),,,1888.0,1952.0,False
Clément Jean-Jacques (1872-?),Q58194175,Jean-Jacques Clément,1872.0,,True
Lacombe Georges (18 /06 /1868-29 /06 /1916),Q652723,Georges Lacombe,1868.0,,True
Anquetin Louis (26 /01 /1861-19 /08 /1932),Q287524,Louis Anquetin,1861.0,,True
Vuillard Edouard (12 /11 /1868-21 /06 /1940),,,,,False
Gaté Camille (1856-1900),Q21029090,Camille Gaté,1856.0,1900.0,True
Puyl Louis François Gérard van der (1750-1824),,,1750.0,1824.0,False
Mêne Pierre Jules,,,,,False
Vasselon Claude-Marie (1841-1924),,,1841.0,1924.0,False
Manufacture indéterminée;Lille;manufacture indéterminée,,,,,False
Bertrand Jean-Claude (1928-1987),Q101175035,Jean-Claude Bertrand,1928.0,1987.0,True
Godchaux Roger (1879-1958),Q15970249,Roger Godchaux,1878.0,1958.0,True
SADELER Raphaël I (1560-1632) : Graveur Editeur;VOS Maarten de (1532-1603) : D'après,,,1560.0,1632.0,False
SADELER Jan I (1550-1600) : Graveur Editeur;GHEERAERTS Marcus I (1521-1590) : D'après,,,1550.0,1600.0,False
BORCHT Pieter I van der (1535-1608) : Graveur,,,1535.0,1608.0,False
COLLAERT Hans I (1530-1581) (Attribué à) (Graveur);FRANCKEN Ambrosius I (1544-1618) (D'après);JODE Gerard de (1510-1591) (Editeur),,,1530.0,1581.0,False
OSTADE Adriaen van (1610-1685) (graveur),Q352438,Q352438,1610.0,1685.0,True
LEONI Ottavio (1578-1630) : Graveur,,,1578.0,1630.0,False
HONDIUS Hendrick II (1597-1651) : Graveur Editeur;WILDENS Jan (1585-1653) : D'après,,,1597.0,1651.0,False
MATHAM Jacob (1571-1631) : Graveur;WILDENS Jan (1585-1653) : D'après;HONDIUS Hendrick II (1597-1651) : Editeur,,,1571.0,1631.0,False
LEYDEN Lucas van (1494-1533) : Graveur,,,1494.0,1533.0,False
Aman-Jean Edmond (1860-1936),Q576570,Edmond Aman-Jean,1858.0,1936.0,True
Billet Pierre (1836-1922),Q3384007,Pierre Billet,1836.0,1922.0,True
CASTIGLIONE Giovanni Benedetto (1609-1664),,,1609.0,1664.0,False
Della Bella Stefano (1610-1664);LANGLOIS François (1588-1647) (éditeur),Q921242,Stefano Della Bella,1610.0,1664.0,True
BOSSE Abraham (1602-1676),Q326215,Abraham Bosse,1602.0,1676.0,True
BOSSE Abraham (1602-1676);LEBLOND Jean I (1590-1666) : Editeur,Q326215,Abraham Bosse,1602.0,1676.0,True
LASNE Michel (1590-1667) : Graveur,,,1590.0,1667.0,False
HABERT Nicolas (1650-1715) : Graveur,,,1650.0,1715.0,False
Allori Alessandro (1535-1607),Q333369,Alessandro Allori,1535.0,1607.0,True
Roy Pierre Michel (1877-1949),,,1877.0,1949.0,False
Desliens Cécile (1853-1937);Desliens Marie (1856-1938),Q3009730,Cécile Desliens,1853.0,1937.0,True
Kim En Joong (1940- u2026.),,,,,False
SPIRINX Louis (1596-1669) : Graveur;BLOEMAERT Cornelis II (1603-1684) : D'après;BLOEMAERT Abraham (1566-1651) : D'après,,,1596.0,1669.0,False
TROUVAIN Antoine (1652-1708) : Graveur,,,1652.0,1708.0,False
LEPAUTRE Jean (1618-1682) : ((Graveur));Berain Jean (1640-1711),,,1618.0,1682.0,False
FEHRT A.J. de (1723-1774) (graveur);EISEN Charles (1720-1778) (d'après),,,1723.0,1774.0,False
BORMANS A. (graveur);SÉLIS Gérard (éditeur),,,,,False
LEPAUTRE Pierre (1652-1716);GALLAYS Pierre (1677-1749) : Editeur,Q7192325,Pierre Lepautre,1652.0,1716.0,True
JEAURAT Edme (1688-1738) : Graveur;VLEUGHELS Nicolas (1668-1737) : D'après,,,1688.0,1738.0,False
FESSARD Étienne (1714-1777) : Graveur;Durand : D'après;DE BURE Jean (1702-1786) : Editeur,,,1714.0,1777.0,False
Lambert Henriette (1925-2020),Q3132476,Henriette Lambert,1925.0,2020.0,True
PERELLE Adam (1638-1695) : Graveur;POILLY Nicolas de (1627-1696) : Editeur,,,1638.0,1695.0,False
MAUPERCHÉ Henri (1604-1686) : Graveur Editeur,,,1604.0,1686.0,False
Viaud Marie (1831-1908);Viaud Julien (1850-1923),,,1831.0,1908.0,False
Atelier De Mâlines,,,,,False
Ingres Jean;Auguste;Dominique (1780-1867),,,,,False
Daubigny Charles François (1817-1878),,,1817.0,1878.0,False
BRUYN Nicolaes de (1571-1656) : Graveur;VOS Maarten de (1532-1603) : D'après;LONDERSEEL Assuerus van (1572-1635) : Editeur,,,1571.0,1656.0,False
LANCELOT Dieudonné Auguste,,,,,False
AVIAT Louis Auguste (attribué),,,,,False
GRAINDORGE (faïencerie),,,,,False
FARGE Frédéric,,,,,False
AVIAT Louis Auguste,,,,,False
BELLE Augustin Louis,,,,,False
BROC Jean,Q2564276,Jean Broc,1771.0,,True
BUREAU Pierre Isidore,,,,,False
BARBIER André,Q115238617,André Barbier,1793.0,,True
COYPEL Charles Antoine (atelier),,,,,False
CHERON Elisabeth Sophie (née);LE HAY Elisabeth Sophie,,,,,False
David (1748-1825) (atelier),Q109229184,David,1748.0,1825.0,True
GRIFFOUL-DORVAL Bernard,Q15970358,Bernard Griffoul-Dorval,1788.0,,True
DANLOUX Henri Pierre (attribué),,,,,False
DESAVARY Charles,Q2958882,Charles Desavary,1837.0,,True
Desportes Claude-François (1695-1774),Q22954096,Claude-François Desportes,1693.0,1774.0,True
ROYER Henri,Q126911464,Henri Royer,1827.0,,True
DROUAIS Hubert,Q2343530,Hubert Drouais,1699.0,,True
Lorrain Claude (1600-1682) (attribué à),Q214074,Claude Gellée,1600.0,1682.0,True
DUPLESSIS Joseph Siffred (atelier),,,,,False
BELLETESTE Jean Antoine,,,,,False
FAVANNE Henri de,Q737170,Henri Antoine de Favanne,1668.0,,True
DIPRE Nicolas,Q3876425,Nicolas Dipre,1460.0,,True
DUMONSTIER Daniel (attribué),Q3013994,Daniel Dumonstier,1574.0,,True
GAILLARD Ferdinand,Q133039917,Ferdinand Gaillard,1836.0,,True
FRIANT Emile,,,,,False
DURANDEAU Antoine Auguste,,,,,False
FRANCOIS Henri J,,,,,False
FORBIN Comte Auguste de,,,,,False
DIEU Antoine,Q2853870,Antoine Dieu,1652.0,,True
GUICHARD Joseph Alexandre,,,,,False
ISABEY Eugène (attribué),Q714341,Eugène Isabey,1803.0,,True
LARRUE Guillaume,Q23996110,Guillaume Larrue,1851.0,,True
LIEFERINXE Josse;MAITRE DE SAINT Sébastien (dit),Q1534936,Josse Lieferinxe,1500.0,,True
GLAIZE Auguste Barthélemy,,,,,False
KAMIR Léon;KAMIR (dit),,,,,False
HOUEL Jean,,,,,False
HUGUES Paul,Q21750269,Paul Hugues,,,True
MATOUT Louis,Q3262792,Louis Matout,1811.0,,True
GUILLEMET Pierre Désiré,,,,,False
HOUEL Jean Pierre,,,,,False
LE PILLEUR Jérémie,Q28017311,Jérémie Le Pilleur,1624.0,,True
LE NAIN (attribué),,,,,False
MONSIAU Nicolas André,,,,,False
Monsiaux Nicolas André (1754-1837),,,1754.0,1837.0,False
Moulignon Léopold de,Q56685113,Léopold de Moulignon,1821.0,,True
PESNE Antoine,Q203758,Q203758,1683.0,,True
Parrocel Charles (1688-1752) (attribué à),Q2406014,Charles Parrocel,1688.0,1752.0,True
POUSSIN Nicolas (d'après),Q41554,Nicolas Poussin,1594.0,,True
RENOU Antoine,Q2856670,Antoine Renou,1731.0,,True
THOMSEN René,Q21512122,René Thomsen,1897.0,,True
SCHALL Jean Frédéric,,,,,False
WATTEAU Jean Antoine (attribué),,,,,False
VERON-BELLECOURT Alexandre,Q15970298,Alexandre Veron-Bellecourt,1773.0,,True
TRUPHEME Auguste,,,,,False
THIRION Eugène,Q61940986,Eugène Thirion,1813.0,,True
TISSOT James,Q381248,James Tissot,1836.0,,True
SELLIER Charles François,,,,,False
ROEHN Jean Alphonse,,,,,False
TIMBAL Charles,,,,,False
RICHEMONT Alfred de,Q47461677,Alfred de Richemont,1857.0,,True
SEVE Pierre de,,,,,False
RICARD Louis Gustave,,,,,False
TIERSONNIER Louis Simon,,,,,False
HOREMANS Jan Josef le Vieux,,,,,False
BOUT Pieter,Q112250,Pieter Bout,1658.0,,True
BONIS Henri,Q24765251,Henri Bonis,1868.0,,True
BRUEGHEL Abraham,Q1824525,Abraham Brueghel,1631.0,,True
NEEFS Pieter I;NEEFS Le Vieux (dit),,,,,False
DUCHATEL François,Q5493248,François Duchatel,1616.0,,True
GILSOUL Victor,Q115829720,Victor Gilsoul,1893.0,,True
MOMPER Joos de,Q560548,Joos de Momper,1564.0,,True
ASSELIJN Jan,Q541976,Jan Asselyn,1600.0,,True
LAEMEN Christoph Jacobsz Van Der,,,,,False
BREYDEL Karel;LE CAVALIER (dit),Q6369266,Karel Breydel,1678.0,,True
LUPIAC André Pierre,,,,,False
BASSEN Bartholomeus Van,,,,,False
DESTREM Casimir,Q28060057,Casimir Destrem,1844.0,,True
HANNEMAN Adriaen,Q864279,Adriaen Hanneman,1603.0,,True
VAN DER HAGEN Joris,,,,,False
BERCKHEYDE Gerrit Adriaensz.,,,,,False
COORTE Adriaen,Q367798,Adriaen Coorte,1659.0,,True
EECKHOUT Gerbrandt van den,,,,,False
Heusch Willem de (1625-1692),Q2005598,Willem de Heusch,1612.0,1692.0,True
HOBBEMA Meindert,Q336908,Meindert Hobbema,1638.0,,True
MESDAG Hendrick Willem,,,,,False
DUCK Jacob,Q1284751,Jacob Duck,1600.0,,True
ALET Maurice,Q24275200,Maurice Alet,1874.0,,True
FAGES Arthur,,,,,False
HONDIUS Abraham Danielsz,,,,,False
"RENOUX Charles Caïus;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",,,,,False
MARTIN Jean-Baptiste,Q112521805,Jean-Baptiste Martin,1943.0,,True
GACHET Louis Paul fils;VAN RYSSEL Louis (dit);Cézanne Paul (1839-1906) (d'après),,,,,False
BAPTISTE Martin Sylvestre,,,,,False
DOOMER Lambert,Q527919,Lambert Doomer,1624.0,,True
MADRAZO Y KUNTZ Frédérico de,,,,,False
VAN YSENDYK Anton,,,,,False
Hersent Louise (1784-1862),Q15952039,Louise Hersent,1784.0,1862.0,True
"GALLAIT Louis;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",Q538173,Louis Gallait,1810.0,,True
DEMAHIS Etienne Achille,,,,,False
ROGER Adolphe,Q2824902,Adolphe Roger,1800.0,,True
"GUE Oscar;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",,,,,False
"PINGRET Edouard;LE CONTE Sauveur (d'après);SAUVEUR LE CONTE (d'après, dit)",,,,,False
SEVE Pierre de;LE BRUN Charles (d'après);VAN DER MEULEN Adam Frans (d'après),,,,,False
PAUL Jean,Q77079,Jean Paul,1763.0,,True
HAUDEBOURT Antoinette Cécile Hortense;LESCOT Antoinette Cécile Hortense (née);LESCOT (dite),,,,,False
Auzou Pauline (1775-1835),Q436167,Pauline Auzou,1775.0,1835.0,True
ALLUYS Jean François,,,,,False
Testelin Henry (1616-1695);Le Brun Charles (1619-1690) (d'après),,,1616.0,1695.0,False
"MARTIN Pierre Denis (attribué);MARTIN le Jeune (dit, attribué)",,,,,False
LEBLANC Théodore,Q16331230,Theodore Leblanc,1800.0,,True
ROSSEL DE CERCY Auguste Louis de,,,,,False
APPERT Eugène,Q3059693,Eugène Appert,1830.0,,True
GILBERT Pierre Julien;ROSSEL DE CERCY Auguste Louis de (d'après),,,,,False
ESPINASSY Auguste,,,,,False
DECAEN Alfred,Q16855504,Alfred Decaen,1820.0,,True
LACRETELLE Edouard,,,,,False
"ALBRIER Joseph;QUESNEL François le Vieux (attribué, d'après)",Q3184472,Joseph Albrier,1791.0,,True
MEYER Louis,Q123313659,Louis Meyer,1865.0,,True
GUERIN PAULIN Jean-Baptiste;PAULIN-GUERIN (dit),,,,,False
COMAIRAS Philippe,Q3379624,Philippe Comairas,1803.0,,True
SACCHI Andrea,Q495008,Andrea Sacchi,1599.0,,True
NAIGEON Jean Guillaume Elzidor,,,,,False
Boulanger Clément (1805-1842),Q2980578,Clément Boulanger,1805.0,1842.0,True
LARCHER Jean Charles,,,,,False
Godefroid Marie-Eléonore (1778-1849),,,1778.0,1849.0,False
Scheffer Ary (1795-1858) (attribué),Q436726,Ary Scheffer,1795.0,1858.0,True
"LE DOMINIQUIN (dit, attribué);ZAMPIERI Domenico (attribué)",,,,,False
LEBOUCHER Achille,,,,,False
VRIES Abraham de,Q108304609,Abraham de Vries,1817.0,,True
GHIRARDI Théodore,Q61336942,Théodore Ghirardi,1816.0,,True
ALLOU Gilles,Q75283,Gilles Allou,1670.0,,True
MENGS Raphaël,,,,,False
BROSSARD DE BEAULIEU François Louis,,,,,False
VIGNON Philippe,Q3380855,Philippe Vignon,1638.0,,True
Delyen Jacques-François (1684-1761) ,Q2843639,Jacques-François Delyen,1684.0,1761.0,True
LE SUEUR Pierre,Q95563771,Pierre Le Sueur,1724.0,,True
POISSON Pierre III;COELLO Alonso Sanchez (d'après),,,,,False
ETEX Louis Jules,,,,,False
BATTAILLE Eugène,Q3059712,Eugène Battaille,1817.0,,True
LEFEBVRE Jean-Baptiste,Q111431846,Jean-Baptiste Lefebvre,1779.0,,True
VALADE Jean,Q139470613,Jean Valade,,,True
BILFELDT Jean Joseph,,,,,False
"Rembrandt (1606-1669) (atelier, dit)",Q5598,Rembrandt,1606.0,1669.0,True
SORGH Hendrick Maertensz;ROKES (dit),,,,,False
NATTIER Jean Marc (école),,,,,False
GARNIER Etienne,,,,,False
Lorimier Henriette (1780-1850),Q2055547,Henriette Lorimier,1775.0,1850.0,True
ROMBOUTS Salomon,Q2582079,Salomon Rombouts,1652.0,,True
VOIS Arie de,,,,,False
BOISFREMONT Charles Boulanger de,,,,,False
HEALY George;BEECHEY Sir William (d'après),Q21538149,George Healy,1905.0,,True
Boisselat Jean-François (1810-1889),Q25918139,Jean-François Boisselat,1810.0,1889.0,True
FRANQUE Joseph,Q2817318,Joseph-Boniface Franque,1774.0,,True
Godefroid Marie-Eléonore (1778-1849);Gérard François (1770-1837) (d'après),,,1778.0,1849.0,False
VERKOLJE Nicolaas,,,,,False
HAUER Jean-Jacques,Q1694873,Jean-Jacques Hauer,1751.0,,True
WIJNANTS Jan;VELDE Adriaen Van de,Q20982577,Jan Wijnants,1958.0,,True
WOUWERMAN Pieter,Q7192842,Pieter Wouwerman,1623.0,,True
STEENWYCK Hendrick Van;STEENWYCK Hendrick le Jeune (dit),,,,,False
GAUTIER-DAGOTY Jean-Baptiste André,,,,,False
VERHAEREN Alfred,Q2179133,Alfred Verhaeren,1849.0,,True
LUCAS Auger,Q2870903,Auger Lucas,1685.0,,True
BOULARD Théodore Louis,,,,,False
VERDIER Paul,Q16239412,Paul Verdier,,,True
MARTIN Jules,Q1705596,Jules Martin,1824.0,,True
HAMMAN Edouard Jean,,,,,False
FROSTE Nicolas Sébastien,,,,,False
CRINIER Georges,Q117305768,Georges Crinier,1803.0,,True
GUILLEMARD Henri II,,,,,False
BRUANDET Lazare (attribué),Q3219998,Lazare Bruandet,1755.0,,True
CALVES Léon Georges,,,,,False
LA MARE-RICHART Florent de,Q112123843,Q112123843,1630.0,,True
TINAYRE Louis,Q18508483,Louis Tinayre,1861.0,,True
LESUEUR Eustache,,,,,False
CHARPENTIER Auguste,Q602962,Auguste Charpentier,1813.0,,True
BARTHELEMY Emilien Victor,,,,,False
GUERIN Jean Urbain,,,,,False
LOUSTAUNAU Louis Auguste Georges,,,,,False
VELDE Adriaen Van de (attribué),,,,,False
THOMAS Antoine Jean-Baptiste,,,,,False
BEAUVAIS Hippolyte,Q52154985,Hippolyte Beauvais,1826.0,,True
NOUSVEAUX Edouard Auguste,,,,,False
GUE Oscar;ALAUX Jean;LE ROMAIN (dit),,,,,False
ANTONIAZZO di Benedetto Aquilio;ANTONIAZZO Romano (dit),,,,,False
BOULOGNE Valentin de;VALENTIN(dit),Q1337275,Valentin de Boulogne,1591.0,,True
BREA Louis,,,,,False
LUCA DI PAOLO,,,,,False
GIOVANNI di Paolo,,,,,False
VENETO Bartolomeo,Q809520,Bartolomeo Veneto,1480.0,,True
MACCHIAVELLI Zanobi,,,,,False
GIOVANNI DI PAOLO,,,,,False
GERINI Niccolo di Pietro,,,,,False
VERLA Francesco,Q16557438,Francesco Verla,1470.0,,True
TOMMASO DEL MAZZA,,,,,False
GIROLAMO DI Benvenuto,,,,,False
BOTTICINI Francesco,Q983275,Francesco Botticini,1446.0,,True
GIOVANNI FRANCESCO DA RIMINI,,,,,False
POERSON Charles François,,,,,False
JACQUIER Henri,Q24203202,Henri Jacquier,1900.0,,True
Ouvrié Pierre-Justin (1806-1879),Q4468865,Pierre-Justin Ouvrié,1806.0,1879.0,True
ABEL Marius,Q16724428,Marius Abel,1832.0,,True
AUDIBERT Dominique,Q18610761,Dominique Audibert,1735.0,,True
NANCY Auguste,,,,,False
KAPELLER Jean Joseph,,,,,False
GUINDON Marius,Q3293810,Marius Guindon,1831.0,,True
HENRY Jean;HENRY D'ARLES (dit),Q84561612,Jean Henry,1761.0,,True
GOUIRAND André Marius,,,,,False
Griffet Louis (1...-?),,,,,False
COSTE Victor Laurent,,,,,False
PANKIEWICZ Joseph,,,,,False
LAURENS Jules Joseph Augustin,,,,,False
CAUVET Ernest,,,,,False
KOSDANIAN;BERGEO (dit),,,,,False
GRANCHI Taylor Achille,,,,,False
GIANELLI Antoine,,,,,False
FRONTI Michel,Q43130457,Michel Fronti,1862.0,,True
JOURDAN Théodore,Q8338691,Théodore Jourdan,1833.0,,True
Cuchet Paul (1895-1986),,,1895.0,1986.0,False
FLEGIER Edmond,,,,,False
MEIN Etienne,,,,,False
VACHER DE TOURNEMINE Charles Emile;TOURNEMINE Charles Emile (dit),,,,,False
ZURBARAN Francisco de (attribué à),,,,,False
RAVE Joanny,Q110017746,Joanny Rave,1827.0,,True
ROSA Salvatore (école),,,,,False
DAUPHIN Hyacinthe,,,,,False
RICHEBE Horace,,,,,False
Vagh Weinmann Nandor (1897-1978),,,1897.0,1978.0,False
REYNAUD Marius,Q52148473,Marius Reynaud,1860.0,,True
MURATON Alphonse,Q2839921,Alphonse Muraton,1824.0,,True
CHAIX Louis;Raphaël (1483-1520) (d'après),Q111494861,Louis Chaix,1891.0,,True
VIMAR Auguste,Q2871442,Auguste Vimar,1851.0,,True
PESKE Jean Miscelas,,,,,False
PIOT René,Q18533862,René Piot,1869.0,,True
VIEN Joseph Marie Le Jeune,,,,,False
RAOUX Jean (attribué à),Q3174228,Jean Raoux,1916.0,,True
ROSSET-GRANGER Paul Edouard,,,,,False
ROBERT Hubert (attribué à),Q548205,Hubert Robert,1733.0,,True
Rouan François (1943-...),Q3085739,Q3085739,1943.0,,True
REGNIER Antony,Q98852513,Antony Regnier,1835.0,,True
CRAPELET Amable Louis,,,,,False
Comte Meiffren,Q97857474,Meiffren Comte,1630.0,,True
HAMON Louis Jean,,,,,False
CREMIEUX Edouard,,,,,False
FAUVELET Jean-Baptiste,Q3164085,Jean-Baptiste Fauvelet,1819.0,,True
GAGLIARDINI Julien Gustave,,,,,False
LA LYRE Adolphe;LALIRE (dit),,,,,False
Caire-Tonoir Marie (1860-1934),Q18414751,Marie Tonoir,1860.0,1934.0,True
DYCK Anton Van (atelier),,,,,False
BOECKHORST Johann;LANGE Jan (dit),,,,,False
GOVAERTS Abraham,Q651521,Abraham Govaerts,1589.0,,True
BENT Johannes Van der,,,,,False
OSSENBECK Jan Van,,,,,False
"BODINIER Guillaume (attribué, ?)",Q3119691,Guillaume Bodinier,1847.0,,True
SICILIANO M D,,,,,False
WERFF Adriaen van der,,,,,False
WOUTERS Frans,Q115815458,Frans Wouters,,,True
TILBORG Gillis Van le Jeune,,,,,False
ASCH Pieter Jansz Van,,,,,False
VINCKBOONS David,Q1176989,David Vinckboons,1576.0,,True
BALEN Hendrik Van le Vieux,,,,,False
MURANT Emmanuel,,,,,False
WET Jacob Willemsz de;WET le Vieux (dit),,,,,False
DELFF Willem Jacobsz,,,,,False
WTEWAEL Joachim Anthonisz,,,,,False
CUYP Jacob Gerritsz,,,,,False
LAGARDE Pierre,Q109994308,Pierre Lagarde,,,True
ZORN Anders,Q206820,Anders Zorn,1860.0,,True
BUNNY Rupert Charles Wolsten,,,,,False
ROTHENSTEIN Sir William,,,,,False
SHANNON Charles Hazelwood,,,,,False
SAIN Paul Jean Marie,,,,,False
BERTHON Maurice,,,,,False
ECKERSBERG Christoffer Wilhelm,,,,,False
Boyd Elizabeth Frances (1867-1946),,,1867.0,1946.0,False
ESTIENNE Henri d',,,,,False
MANCINI Antonio,Q603148,Antonio Mancini,1852.0,,True
BURNE-JONES Sir Edward,,,,,False
Boznańska Olga (1865-1940),Q466639,Q466639,1865.0,1940.0,True
TANNER Henry Ossawa,,,,,False
DULAC Charles Marie,,,,,False
LECOMTE Victor,Q37516247,Victor Lecomte,1856.0,,True
HARRISON Thomas Alexander,,,,,False
LAURENS Paul Albert,,,,,False
ALMA-TADEMA Sir Lawrence,,,,,False
FOREAU Henri,Q3131100,Henri Foreau,1866.0,,True
FIGARI Pedro,Q1388990,Pedro Figari,1861.0,,True
DURENNE Eugène Antoine,,,,,False
BAUD-BOVY Auguste,Q116395,Auguste Baud-Bovy,1848.0,,True
BOTTINI Georges Alfred,,,,,False
SLEWINSKI Wladislaw,,,,,False
ACHENBACH Oswald,Q76415,Oswald Achenbach,1827.0,,True
LAVAL Charles,Q2249621,Charles Laval,1862.0,,True
ROY Louis,Q112602900,Louis Roy,,,True
STECK Paul Albert,,,,,False
PETITJEAN Hippolyte,Q539063,Hippolyte Petitjean,1854.0,,True
MALHERBE William,Q22003258,William Malherbe,1884.0,,True
GRANIE Joseph,,,,,False
WILLAUME Louis,Q15970869,Louis Willaume,1874.0,,True
ROUSSIN Victor Marie,,,,,False
GIRARDET Eugène,Q3059890,Eugène Girardet,1853.0,,True
HOFFBAUER Charles,Q2959361,Charles Hoffbauer,1875.0,,True
BARBIER Nicolas Alexandre,,,,,False
DUPUY Paul Michel,,,,,False
La Villette Élodie (1842-1917),,,1842.0,1917.0,False
COIGNARD Louis,Q3261559,Louis Coignard,1810.0,,True
DAGNAUX Albert,Q2405066,Albert Dagnaux,1861.0,,True
DESTORRENT Ramon (attribué),,,,,False
SEAILLES Octavie;SEAILLES Paule (dite),,,,,False
DUVOCELLE Julien,Q15970243,Julien Duvocelle,1873.0,,True
WEBER Otto,Q118119596,Otto Weber,1899.0,,True
COUSIN Charles,Q27865776,Charles Cousin,1736.0,,True
PANTOJA DE LA CRUZ Juan,,,,,False
PASCIN Julius Pinkas;PASCIN Jules (dit),,,,,False
SMITH-HALD Frithjof,Q16886345,Frithjof Smith-Hald,1846.0,,True
GRAU Gustave Adolphe,,,,,False
DUHEM Henri Aimé,,,,,False
CELESTI Andrea,Q1065524,Andrea Celesti,1637.0,,True
COSTA Lorenzo,Q357807,Lorenzo Costa,1460.0,,True
L'HOMME Victor,,,,,False
POLIAKOFF Serge,Q384860,Serge Poliakoff,1900.0,,True
CONINCK Pierre de,,,,,False
DESPUJOLS Jean,Q3171725,Jean Despujols,1886.0,,True
BRANDON Jacques Emile Edouard,,,,,False
DIDIER-POUGET William,Q3568553,William Didier-Pouget,1864.0,,True
GROISEILLIEZ Marcellin de,Q3289611,Marcellin de Groiseilliez,1837.0,,True
LABISSE Félix,Q2012984,Q2012984,1905.0,,True
Atlan Jean-Michel (1913-1960),Q689646,Jean-Michel Atlan,1913.0,1960.0,True
BOISLECOMTE Edmond de,Q21007640,Edmond de Boislecomte,1849.0,,True
COLIN François,Q59645583,François Colin,1818.0,,True
DOSQUE Raoul,,,,,False
BESNUS Amédée,,,,,False
ALAUX Jean Paul,,,,,False
DIETRICH Johann Christian (attribué),,,,,False
CHAIGNEAU Jean Ferdinand,,,,,False
BONHEUR Auguste,Q2871069,Auguste Bonheur,1824.0,,True
SOUCHON François;Murillo Bartolomé Esteban (1618-1682) (d'après),Q3085848,François Souchon,1787.0,,True
BRUNEL-ROQUES Léon,,,,,False
Timbal Charles (1821-1880),,,1821.0,1880.0,False
CASTELLI Valerio,,,,,False
MAITRE DE LA LEGENDE DE SAINTE URSULE,,,,,False
CASEY Daniel,Q106890842,Daniel Casey,1820.0,,True
Huet René-Ernest (1886-1914),Q23019037,René-Ernest Huet,1886.0,1914.0,True
MELIN Joseph,Q99510341,Joseph Melin,1984.0,,True
LORIMER John Henry,,,,,False
Moucheron Frederik de (1633-1686),Q515222,Frederik de Moucheron,1633.0,1686.0,True
SALVI Giovanni Battista;IL SASSOFERRATO (dit),,,,,False
GAINSBOROUGH Thomas,Q192720,Thomas Gainsborough,1727.0,,True
Édouard Albert-Jules (1845-1919),,,1845.0,1919.0,False
CARRACCI Annibale (d'après),Q7824,Annibale Carracci,1560.0,,True
LANCRET Nicolas (école),Q188172,Nicolas Lancret,1689.0,,True
BOUCART Gaston,,,,,False
ETTY William,Q766362,William Etty,1787.0,,True
RAEBURN Sir Henry,,,,,False
RENI Guido (d'après),Q109061,Guido Reni,1575.0,,True
ZAUFFALY Johann;ZOFFANY John (dit),,,,,False
BULAND Jean Eugène,,,,,False
CRETI Donato,Q2340302,Donato Creti,1671.0,,True
PRIOU Louis,Q17453544,Louis Priou,1845.0,,True
NUVOLONE Carlo Francesco (attribué),,,,,False
HUBERT-GAUTIER Jean,Q93221519,Jean Hubert-Gautier,1872.0,,True
MARQUERIE Gustave Lucien,,,,,False
CLAUDE Georges,Q15144248,Georges Claude,1854.0,,True
Pierre de CORTONE (dit);BERRETTINI Pietro,,,,,False
CHAUVELON Gabriel,Q130467935,Gabriel Chauvelon,1875.0,,True
CABANE Edouard,,,,,False
OLIS Jan,Q2718002,Jan Olis,1610.0,,True
LAURENS Jean Pierre,,,,,False
GUE Julien Michel,,,,,False
GIORDANO Luca (attribué),Q332494,Luca Giordano,1632.0,,True
MAITRE DE BURGO DE OSMA,,,,,False
QUINKHARD Jan Maurits,,,,,False
OLLER Y CESTERO Francisco,,,,,False
HERRERA Francisco I de;HERRERA l'Ancien (dit),,,,,False
PARGADE Maurice,,,,,False
Ceulen Cornelis Janssens (1593-1661),,,1593.0,1661.0,False
GIBERT Antoine,Q123251092,Antoine Gibert,,,True
DUBOURG Alexandre,,,,,False
VAN MOUR Jean-Baptiste,,,,,False
PALLIERE Léon Louis Vincent,,,,,False
KESSEL Jan I van,,,,,False
EISEN Charles Dominique Joseph,,,,,False
MEULEN Adam Frans van der,,,,,False
MIALHE Pierre Toussaint Frédéric,,,,,False
